Year,Blackstone,Boston Harbor,Buzzards Bay,Cape Cod,Charles,Chicopee,Connecticut,Deerfield,Farmington,French,Housatonic,Hudson,Ipswich,Merrimack,Millers,Narragansett Bay & Mt. Hope Bay Shore,Nashua,North Coastal,Parker,Quinebaug,Shawsheen,South Coastal,SuAsCo,Taunton,Ten Mile,Westfield
1951,2.9155629294558243,0.90584130084037939,0.59182952455151216,0.35747799470391045,2.3056887147700875,5.772107526799819,6.1041492523573817,10.369140063840529,7.5992300400197026,3.1102949938322535,8.525223901802411,10.070360255469348,0.66663875078742207,3.2227194618960922,7.9043476808929505,0.0,4.6656770211126544,0.076596172408237628,1.3750157535409648,4.4282698678664874,1.3994792920169921,1.0,3.1344488833035813,0.73612697963007401,0.74975479642673637,8.0715587739000458
1952,2.6655828951682214,1.3344189200896301,0.07399675424055141,0.0,2.0441806792250268,5.4517928988667883,6.1469885181466974,11.108090611643853,7.6991017926603478,2.887731752990446,8.5806903734341287,12.640007894703242,1.4165551767365328,4.7226355311876844,7.0472049128128198,0.0,5.3317881421260429,0.84603430695463744,2.7499054787541342,3.4280587073924225,2.1986381667171297,0.10515983732811955,3.0333291951807406,1.2099022535192521,1.4995095928534727,8.3878095112443489
1953,0.0,0.0,0.0,0.0,0.0,0.075226641161850127,0.17349269291387492,2.0356457349014954,1.5996249583950286,0.0,1.5545561751871633,2.713431261006551,0.0,0.0,0.61896798086434046,0.0,0.033265487441685199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2068988407076993
1954,2.9166321840738227,2.4768848322054464,2.1458688651687532,2.9998612836290266,2.7396549008454714,5.5808897303210436,6.0138904838209983,10.887037701576851,8.4993584063351353,2.9997806321038096,9.0799999627590307,13.069148170347322,2.6665551023421732,3.333687692705058,10.99947415313799,2.3325205440871084,4.6316109151571823,2.5381823763444955,3.0,3.4282697828906912,2.9999999999999996,3.0,3.2001794045910446,3.0525276052607673,3.0,8.385720076059469
1955,1.6242490146750548,1.0476932244750057,1.036998377120272,0.35712982350323258,1.260991537132387,2.4691178895135999,2.691825813068323,7.2936460926634012,8.0989833647301648,1.6662648227505692,9.13715041164998,10.714288463040791,1.2499163763528764,1.9445719265181791,6.3807452244865361,1.0,2.7997402304717673,0.61570450078421324,1.3748897252132202,1.0,1.3994792920169921,1.0,2.7005282179317764,1.1841413671297472,1.0,6.9917448424218156
1956,3.0831208398747001,2.0490622496642041,2.2580525877608997,1.2857742999094093,2.7842657281797409,6.730725427585746,7.0112477675731197,11.146116299450835,7.9988153638299773,3.5555309609713821,9.2742747963252974,11.211076510333273,2.6666388499799076,4.3895631099852395,12.380506342317981,1.33300801929673,5.4312844767363684,2.383523248470877,2.3750157535409646,3.9285161509397684,2.3994792920169923,1.526935952440174,3.1665498667030523,2.6053121681186098,2.2492640918020714,9.7028931649852144
1957,8.8336351543929634,4.4305130498976659,4.0721606013332909,3.0713914248430503,7.0472811188300231,9.6947803516426045,9.535645135922131,14.109020280612089,9.3989931841593357,7.9987940716576569,10.995064206241473,14.569794990269171,6.9998328023019543,9.4449351413448586,14.094935389137239,3.3331708415321994,10.797939661662657,5.1533470519846603,6.874826711049387,7.500246368049063,6.7981574216076641,3.8431903811491956,8.0005973537930366,5.7093350354221499,7.4987739077641224,11.885732546170884
1958,3.3750099583623312,1.476837985483227,0.96235370891985828,1.1072434622286793,2.8715924858326729,8.4840431927800619,9.6628354545374791,15.850536494576318,14.198854760502702,3.110404876012189,14.857610538466764,16.642005506930953,1.0833612244144695,3.4461098402915837,15.99942629739574,1.0,6.2974549256223211,1.0,1.0,4.1436714247411341,2.4010813788395988,1.0,3.3665308270924932,1.2104175789955249,1.9995094441144039,14.962055707376908
1959,5.9170440916077549,2.9542888829801086,0.73989524367275017,0.78620895169403626,4.7858580888838942,12.743270952525895,13.562911519620663,26.403893845146939,19.395933221008544,6.3317621885116298,21.04744573569312,24.854646683237686,2.0834447736671828,5.5569662516063643,25.855756707315127,0.0,9.2957205488837715,1.0764421978754544,1.9999999999999747,6.7859706038159562,4.4012816695057122,0.84220814760775964,4.3993949373449635,4.1553643622488199,5.7487736846555944,22.135579212971514
1960,0.0,0.0,0.0,0.0,0.17422372899195446,0.60252746835574711,0.49835252919697642,3.776157994391883,3.0988845756583046,0.44468827477021045,4.3591561505896266,4.5709320788953667,0.0,0.0,2.2380793023433565,0.0,0.16642763848267492,0.0,0.0,0.28586506606674889,0.0,0.0,0.0,0.0,0.0,3.9150137561355587
